# Total AGB yield table from MESA stellar evolution models
# Combines Early-AGB (EAGB) + Thermally-Pulsing AGB (TPAGB)
# Columns:
#   1: M_init    - Initial stellar mass (Msun)
#   2: Z_init    - Initial metallicity (mass fraction)
#   3: t_start   - AGB start time (Myr)
#   4: t_end     - AGB end time (Myr)
#   5: C_yield   - Carbon-12 yield (Msun)
#   6: N_yield   - Nitrogen-14 yield (Msun)
#   7: O_yield   - Oxygen-16 yield (Msun)
#   8: Ne_yield  - Neon-20 yield (Msun)
#   9: Mg_yield  - Magnesium-24 yield (Msun)
#  10: Z_total   - Total metal yield (Msun)
#  11: M_lost    - Total mass lost (Msun)
#
# M_init  Z_init     t_start    t_end      C_yield    N_yield    O_yield    Ne_yield   Mg_yield   Z_total    M_lost
 6.000  0.001000      65.486      65.821    0.000970    0.003341    0.000752   0.0005875   0.0010032    0.006812    4.94611
 6.000  0.002000      66.839      67.204    0.001686    0.005177    0.002271   0.0011694   0.0019985    0.012511    4.92643
 6.000  0.003000      68.016      68.415    0.001346    0.006890    0.003869   0.0017503   0.0029951    0.017127    4.92232
 6.000  0.004000      68.829      69.256    0.001676    0.008713    0.005666   0.0023300   0.0039873    0.022755    4.91469
 6.000  0.005000      69.464      69.920    0.001440    0.010347    0.007379   0.0029097   0.0049814    0.027523    4.91213
 6.000  0.010000      71.819      72.350    0.001779    0.017844    0.016031   0.0057424   0.0098354    0.052128    4.84934
 6.000  0.015000      73.072      73.669    0.002716    0.024818    0.024744   0.0085424   0.0146334    0.076810    4.81003
 6.000  0.020000      73.382      74.045    0.005454    0.027452    0.032605   0.0110487   0.0189281    0.097926    4.66632
 6.000  0.030000      71.064      71.857    0.005575    0.044901    0.053162   0.0186838   0.0306905    0.154253    4.94613
 7.000  0.000100      46.918      47.143    0.000112    0.000547    0.000011   0.0000689   0.0001192    0.000879    5.81632
 7.000  0.001000      48.412      48.627    0.000138    0.002723    0.001009   0.0006668   0.0011649    0.005807    5.63241
 7.000  0.002000      49.148      49.377    0.000262    0.004841    0.002686   0.0013594   0.0023750    0.011694    5.74166
 7.000  0.003000      49.692      49.929    0.000350    0.006732    0.004567   0.0020330   0.0035519    0.017473    5.72460
 7.000  0.004000      50.138      50.380    0.000496    0.008607    0.006486   0.0027072   0.0046381    0.023327    5.71715
 7.000  0.005000      50.403      50.664    0.000602    0.010446    0.008447   0.0033834   0.0057967    0.029157    5.71624
 7.000  0.010000      51.606      51.898    0.000812    0.019901    0.018164   0.0067478   0.0115607    0.058092    5.70018
 7.000  0.015000      51.923      52.247    0.001471    0.028902    0.027455   0.0099660   0.0170742    0.086204    5.61243
 7.000  0.020000      51.612      51.974    0.002402    0.035457    0.036482   0.0129129   0.0221231    0.111378    5.45404
 7.000  0.030000      49.245      49.682    0.002707    0.057120    0.060438   0.0219536   0.0363482    0.179378    5.85823
