ESO549-035         6.37639E+00    2.04715E-01   -4.16218E-02    2.49880E-01   -1.07721E+00    1.28976E-01    9.18857E+00    4.77708E-02            ---            ---    9.10390E+00    1.07805E-01   -9.84609E+00    1.26063E-01            ---            ---
NGC1510            5.67320E+00    2.04905E-01    6.07625E-01    2.00644E-01   -1.15452E+00    9.72000E-02            ---            ---            ---            ---    8.79066E+00    1.05250E-01   -9.74983E+00    1.15146E-01    8.22457E+00    9.78327E-02
NGC1566            6.75918E+00    2.89477E-02    6.01179E-01    6.33923E-02   -9.54532E-01    5.02273E-02    9.59871E+00    1.10175E-01   -4.84884E-01    1.94177E-01    9.73165E+00    1.08908E-01   -9.91713E+00    1.31018E-01    8.58411E+00    1.59060E-02
UGC03016           6.82142E+00    1.22709E-01    2.38837E-01    1.36353E-01   -8.85622E-01    7.71648E-02    9.07841E+00    2.63668E-01            ---            ---    9.85586E+00    1.06333E-01            ---            ---            ---            ---
NGC1569            5.45680E+00    1.44874E-01    1.45974E+00    1.40481E-01   -1.63053E+00    6.26240E-02    8.32569E+00    2.21249E-02   -1.40360E+00    1.66873E-01    8.51656E+00    9.44497E-02   -8.56139E+00    9.76416E-02    7.95922E+00    8.82110E-02
IC2085             6.30590E+00    8.37485E-02   -5.86210E-02    8.89658E-02   -9.19267E-01    3.69683E-02            ---            ---            ---            ---    9.24553E+00    6.96483E-02   -1.07613E+01    3.91929E-01            ---            ---
NGC1617            6.76128E+00    5.11294E-02    2.49870E-03    4.94085E-02   -7.96450E-01    2.28503E-02            ---            ---            ---            ---    1.06480E+01    9.56160E-02   -1.23790E+01    5.16139E-01            ---            ---
ESO157-047         5.42560E+00    3.48372E-01    2.70890E-01    3.38155E-01   -1.18381E+00    1.50441E-01    8.80369E+00    4.18825E-02            ---            ---    8.64514E+00    1.28336E-01   -1.00779E+01    1.69895E-01            ---            ---
ESO157-049         7.23536E+00    1.33994E-01    1.80174E-01    1.23699E-01   -1.13039E+00    1.83083E-02    9.28507E+00    2.01759E-02            ---            ---    9.51031E+00    8.07409E-02   -9.81744E+00    1.15735E-01    8.42784E+00    9.44294E-03
NGC1705            5.16656E+00    1.61943E-01    5.69079E-01    1.55523E-01   -1.36774E+00    1.01551E-01    8.19921E+00    2.16097E-02            ---            ---    8.29784E+00    9.96044E-02   -9.39560E+00    1.03973E-01    8.08556E+00    1.29863E-02
NGC1800            5.51450E+00    8.28343E-02    4.44292E-01    8.31202E-02   -1.19492E+00    2.09448E-02    8.38034E+00    1.57077E-02            ---            ---    8.59824E+00    9.35726E-02   -9.87270E+00    1.11295E-01    8.23235E+00    6.33833E-02
NGC1808            7.26419E+00    2.75039E-02    1.22670E+00    4.43857E-02   -1.20894E+00    2.05121E-02    1.06140E+01    1.15774E-01   -2.28342E-01    1.68440E-01    1.04212E+01    9.58624E-02   -9.74233E+00    1.34188E-01            ---            ---
NGC1924            7.20228E+00    3.94854E-02    6.09821E-01    4.23781E-02   -1.03737E+00    2.90061E-02    9.56128E+00    5.30720E-02            ---            ---    1.00974E+01    7.91000E-02   -9.87639E+00    1.89222E-01            ---            ---
NGC2146            8.08303E+00    1.08119E-02    1.11925E+00    1.00929E-02   -1.11241E+00    4.51476E-03            ---            ---            ---            ---    1.09384E+01    9.79838E-02   -9.44592E+00    1.59169E-01            ---            ---
NGC2273            7.09535E+00    2.08865E-02    9.47320E-01    2.01879E-02   -1.20686E+00    1.07008E-02    9.70523E+00    6.04113E-02   -4.91420E-01    1.59468E-01    1.06271E+01    8.88307E-02   -1.04506E+01    1.91939E-01            ---            ---
PGC2807061         3.31535E+00    7.81340E-01   -8.09780E-01    6.73851E-01   -1.21794E+00    3.92275E-01    7.42646E+00    5.52077E-02            ---            ---    6.83815E+00    2.02184E-01            ---            ---            ---            ---
UGC03701           6.78809E+00    1.80697E-01    8.68604E-02    2.15806E-01   -1.13223E+00    9.64348E-02    9.68501E+00    5.09859E-02            ---            ---    9.56844E+00    1.03176E-01   -9.92127E+00    1.32715E-01    8.34841E+00    3.56788E-02
ESO428-014         6.14819E+00    2.35078E-01    1.56717E+00    2.25434E-01   -1.07772E+00    5.65231E-02            ---            ---            ---            ---            ---            ---            ---            ---            ---            ---
