group_index,selected,mass_bin_log10,M200c_Msun,log10_M200c_Msun,R200c_kpc_h,GroupLen,GroupNsubs,x_Mpc_h,y_Mpc_h,z_Mpc_h,edge_distance_Mpc_h,neighbor_group_index,neighbor_M200c_Msun,neighbor_mass_ratio,neighbor_distance_Mpc_h,neighbor_distance_over_R200c,score
5216,0,,84022433008.3855,10.9243952530984,62.4293327331543,949,2,44.75149609375,25.8798125,41.299484375,5.248503906250001,10996,42071837579.927765,0.5007214867930445,0.9682334956568139,15.509271896199763,1.0
5226,0,,96389373285.17685,10.984029156537657,65.35225677490234,947,2,44.885273437500004,34.15497265625,9.952470703125,5.114726562499996,1488,407623975530.5235,4.2289306552967245,1.1900726426500088,18.210123129321527,1.0
5239,0,,100269192963.64378,11.001167519450759,66.22090148925781,944,1,27.443087890625,5.16821337890625,31.7900546875,5.16821337890625,2149,286621970926.3766,2.8585247617411436,1.1584864873411127,17.494272371526677,1.0
5240,0,,99784217274.62106,10.999061854988932,66.11318969726562,944,1,14.1615341796875,16.087025390625,15.572714843750001,14.1615341796875,7470,67048205978.02183,0.671931972904043,2.1707079309654898,32.83320530903485,1.0
5241,0,,101724127113.85454,11.007423971897033,66.53770446777344,944,1,11.2888017578125,17.81879296875,28.56678515625,11.2888017578125,2911,207813056678.3413,2.042908232043583,1.5206417623681812,22.85383564899931,1.0
5242,0,,49831487561.575516,10.697503851853796,52.45431900024415,944,2,15.570185546875,22.942078125000002,41.87008203125,8.12991796875,17256,25946321546.925156,0.5206812563013283,1.089634805442871,20.773023579579775,1.0
5247,0,,98814258813.43304,10.99481961743361,65.89982604980469,943,1,27.142640625000002,25.252242187500002,8.7572802734375,8.7572802734375,5577,91297103759.43922,0.9239264136141866,2.224736305517078,33.75936537124853,1.0
5251,0,,58439846769.79867,10.76670906853676,55.31393051147461,942,4,24.103982421875,16.703236328125,40.8776484375,9.1223515625,2723,211207907750.9281,3.6141078292504862,1.3514094045167584,24.431628561206928,1.0
5257,0,,101966618499.93718,11.008458017114153,66.589111328125,940,1,33.71047265625,17.61221875,31.907656250000002,16.289527343750002,3953,141492317775.42487,1.3876337163766201,2.027612160617273,30.44960535103098,1.0
5288,0,,95298172672.51878,10.979084573189741,65.10631561279297,932,1,27.73918359375,15.168217773437501,27.105496093750002,15.168217773437501,2207,260796918092.70612,2.7366413308774002,1.4730677736715514,22.625574182884698,1.0
5376,0,,92024570834.5446,10.963903800749254,64.35382080078125,913,3,12.0417080078125,23.419949218750002,37.50975390625,12.0417080078125,4636,88993460382.65308,0.967061944169875,1.5064913643239035,23.409509265774858,1.0
5305,0,,71897984117.67679,10.856716713764767,59.27214813232422,928,3,40.86623828125,6.61602490234375,7.7056210937500005,6.61602490234375,8313,62683403527.38959,0.8718381230938892,1.1164165744090013,18.835432991505847,1.0
5307,0,,90327145298.2512,10.955818284993766,63.95684814453124,927,1,9.2228662109375,36.78195703125,15.745829101562501,9.2228662109375,3396,138339965172.0633,1.531543643002096,2.9451475251742063,46.04897850060857,1.0
5309,0,,96874348974.19957,10.986208796929978,65.46201324462892,927,2,36.37267578125,28.9383671875,17.137744140625,13.627324218749997,5859,78202696407.54251,0.8072590653318367,1.3643098692197757,20.841245198515427,1.0
