# Transfer functions at z=99
# k/h[Mpc^-1]  T_cdm  T_baryon  T_photon  T_nu  T_total
 2.0878472e-01  7.9221108e+03  5.6012729e+03  5.3492635e-01  1.8910687e+00  7.5127261e+03
 2.1713501e-01  7.5043535e+03  5.4017031e+03  4.6990281e-01  1.7309000e+00  7.1314385e+03
 2.2581928e-01  7.0898979e+03  5.1125312e+03  4.1054958e-01  1.5715545e+00  6.7390005e+03
 2.3485087e-01  6.6761611e+03  4.7513584e+03  3.5662618e-01  1.2994127e+00  6.3359795e+03
 2.4424368e-01  6.2874946e+03  4.4379893e+03  3.1011653e-01  1.1150786e+00  5.9614067e+03
 2.5401215e-01  5.9347729e+03  4.2173276e+03  2.7096274e-01  9.9864221e-01  5.6313750e+03
 2.6417131e-01  5.6050308e+03  4.0171274e+03  2.3694064e-01  8.8124657e-01  5.3237891e+03
 2.7473678e-01  5.2824800e+03  3.7757217e+03  2.0635708e-01  7.3841476e-01  5.0158335e+03
 2.8572481e-01  4.9721191e+03  3.5308804e+03  1.7938849e-01  6.2576139e-01  4.7175640e+03
 2.9715231e-01  4.6849531e+03  3.3322566e+03  1.5632513e-01  5.8946037e-01  4.4459238e+03
 3.0903685e-01  4.4163755e+03  3.1550833e+03  1.3634825e-01  5.1167035e-01  4.1932017e+03
 3.2139671e-01  4.1582910e+03  2.9660891e+03  1.1866298e-01  4.4268405e-01  3.9474412e+03
 3.3425090e-01  3.9131299e+03  2.7845786e+03  1.0320351e-01  3.9927778e-01  3.7136802e+03
 3.4761918e-01  3.6841523e+03  2.6263640e+03  8.9863747e-02  3.1110629e-01  3.4971069e+03
 3.6152213e-01  3.4675322e+03  2.4737063e+03  7.8208782e-02  2.9745343e-01  3.2917590e+03
 3.7598113e-01  3.2615996e+03  2.3236917e+03  6.7999765e-02  2.6326069e-01  3.0957832e+03
 3.9101841e-01  3.0680781e+03  2.1868618e+03  5.9145309e-02  2.2531626e-01  2.9122620e+03
 4.0665710e-01  2.8855410e+03  2.0576516e+03  5.1434103e-02  2.0492394e-01  2.7391350e+03
 4.2292126e-01  2.7127690e+03  1.9334646e+03  4.4703245e-02  1.8325672e-01  2.5749758e+03
 4.3983590e-01  2.5501270e+03  1.8180509e+03  3.8855150e-02  1.4627318e-01  2.4206733e+03
 5.4967323e-01  1.7873495e+03  1.2743573e+03  1.7437469e-02  6.1441880e-02  1.6966340e+03
 6.8693951e-01  1.2452828e+03  8.8795190e+02  7.7790776e-03  3.2151740e-02  1.1820922e+03
